date,ph
04/14/2016 01:33:37,8.2035
04/14/2016 01:38:38,8.201
04/14/2016 01:43:39,8.1961
04/14/2016 01:48:40,8.1944
04/14/2016 01:53:41,8.1968
04/14/2016 01:58:42,8.196
04/14/2016 02:03:43,8.1922
04/14/2016 02:08:44,8.1886
04/14/2016 02:13:45,8.1862
04/14/2016 02:18:46,8.183
04/14/2016 02:23:47,8.1854
04/14/2016 02:28:48,8.1832
04/14/2016 02:33:49,8.1804
04/14/2016 02:38:50,8.1796
04/14/2016 02:43:51,8.176
04/14/2016 02:48:52,8.1783
04/14/2016 02:53:53,8.1752
04/14/2016 03:03:55,8.171
04/14/2016 03:08:56,8.1677
04/14/2016 03:13:57,8.1618
04/14/2016 03:18:58,8.1605
04/14/2016 03:23:59,8.1574
04/14/2016 03:29:00,8.1545
04/14/2016 03:34:01,8.15
04/14/2016 03:39:03,8.1441
04/14/2016 03:44:04,8.1405
04/14/2016 03:49:05,8.1392
04/14/2016 03:54:06,8.1354
04/14/2016 03:59:07,8.1336
04/14/2016 04:04:08,8.1275
04/14/2016 04:09:09,8.1244
04/14/2016 04:14:11,8.1232
04/14/2016 04:19:11,8.1192
04/14/2016 04:24:12,8.1198
04/14/2016 04:29:13,8.115
04/14/2016 04:34:14,8.1053
04/14/2016 04:39:15,8.1034
04/14/2016 04:44:16,8.1002
04/14/2016 04:49:17,8.0988
04/14/2016 04:54:18,8.0938
04/14/2016 04:59:19,8.09
04/14/2016 05:04:20,8.0841
04/14/2016 05:09:21,8.0782
04/14/2016 05:14:22,8.0777
04/14/2016 05:19:23,8.076
04/14/2016 05:24:24,8.0731
04/14/2016 05:29:25,8.0718
04/14/2016 05:34:26,8.0609
04/14/2016 05:39:27,8.0602
04/14/2016 05:44:28,8.0525
04/14/2016 05:49:29,8.0548
04/14/2016 05:54:30,8.0493
04/14/2016 05:59:31,8.0487
04/14/2016 06:04:32,8.0418
04/14/2016 06:09:33,8.0353
04/14/2016 06:14:34,8.0348
04/14/2016 06:19:35,8.0358
04/14/2016 06:24:36,8.0296
04/14/2016 06:29:37,8.0272
04/14/2016 06:34:38,8.0214
04/14/2016 06:39:39,8.0185
04/14/2016 06:44:40,8.0156
04/14/2016 06:49:41,8.0155
04/14/2016 06:54:42,8.0107
04/14/2016 06:59:43,8.0102
